,Brand,Color,Storage,Rating,Screen_size,Battery,Price,Rating_cat,Price_cat
242,REDMI,Orange,128,4.2,6.7,6000,12465,high,Affordable
243,REDMI,White,256,4.2,6.7,4980,32999,high,Costly
244,OPPO,Blue,64,4.3,6.6,5000,11895,high,Affordable
245,vivo,Green,128,4.3,6.6,5000,14499,high,Affordable
246,MOTOROLA,Grey,64,4.2,6.4,5000,11999,high,Affordable
247,vivo,Blue,128,4.3,6.6,5000,14499,high,Affordable
248,Infinix,Gold,128,4.2,6.7,4500,15999,high,Affordable
249,REDMI,Black,128,4.2,6.7,5000,24999,high,Average
250,MOTOROLA,Green,64,4.2,6.5,5000,10948,high,Affordable
251,realme,Blue,128,4.3,6.6,5000,12999,high,Affordable
252,OnePlus,Black,128,4.3,6.7,5000,30298,high,Costly
253,MOTOROLA,Black,256,4.3,6.7,4610,49999,high,Costly
254,OPPO,Purple,256,4.3,6.7,4600,39999,high,Costly
255,OPPO,Grey,256,4.3,6.7,4600,39999,high,Costly
256,vivo,Blue,128,4.3,6.6,5000,15499,high,Affordable
257,OPPO,Black,128,4.2,6.4,4500,21998,high,Average
258,REDMI,Blue,64,4.3,6.4,5000,11499,high,Affordable
259,OnePlus,Green,128,4.3,6.7,5000,30778,high,Costly
260,POCO,Black,256,4.2,6.7,5000,33999,high,Costly
261,Nothing,White,512,4.4,6.7,4700,54999,high,Costly
262,IQOO,Green,128,4.2,6.7,5000,15995,high,Affordable
263,MOTOROLA,Grey,128,4.3,6.6,4400,34999,high,Costly
264,Infinix,Blue,256,4.2,6.8,5000,15999,high,Affordable
265,Infinix,Black,256,4.2,6.8,5000,15999,high,Affordable
266,realme,Green,128,4.4,6.5,6000,11142,high,Affordable
267,SAMSUNG,Black,256,4.1,6.5,5000,33990,low,Costly
268,Infinix,Black,64,4.2,6.7,5000,10999,high,Affordable
269,vivo,Black,256,4.2,6.4,4500,27990,high,Average
270,POCO,White,256,4.2,6.7,5000,33999,high,Costly
271,OPPO,Blue,64,4.3,6.6,5000,11895,high,Affordable
272,Nothing,White,512,4.4,6.7,4700,54999,high,Costly
274,Infinix,Gray,128,4.2,6.7,4500,15999,high,Affordable
275,Infinix,Fantasy,128,4.2,6.7,4500,15999,high,Affordable
276,vivo,Blue,256,4.2,6.4,4500,28990,high,Average
277,realme,Blue,128,4.3,6.6,5000,12999,high,Affordable
278,vivo,Blue,128,4.3,6.4,4500,25499,high,Average
279,realme,Blue,64,4.2,6.7,5000,11505,high,Affordable
280,REDMI,White,256,4.2,6.7,4980,32999,high,Costly
282,REDMI,Purple,64,4.3,6.6,5000,10490,high,Affordable
283,Tecno,Black,128,4.1,6.8,5000,12990,low,Affordable
